instance_id,music_genre
48564,Rap
72394,Blues
88081,Rap
78331,Country
72636,Alternative
74228,Classical
39106,Alternative
78829,Country
91469,Country
54558,Blues
44055,Anime
29671,Classical
56323,Country
54809,Blues
55369,Rap
68566,Rap
53565,Alternative
69565,Rock
39014,Rap
28452,Electronic
40219,Blues
41832,Rap
50963,Electronic
58058,Country
41339,Country
25263,Anime
30932,Rap
65113,Blues
43628,Blues
82352,Rap
25868,Electronic
57582,Rock
64912,Rap
30690,Country
58160,Rap
48352,Electronic
32598,Blues
81733,Electronic
68478,Country
61070,Jazz
87062,Jazz
50604,Rock
51443,Alternative
79739,Country
52375,Electronic
43645,Country
51950,Blues
62180,Electronic
91491,Rap
57217,Anime
30912,Country
37289,Rap
58378,Rap
83848,Country
88071,Anime
78696,Blues
73721,Country
21431,Anime
33066,Country
71571,Electronic
54360,Country
61237,Alternative
43763,Anime
53222,Rap
24144,Rap
35526,Alternative
79272,Country
28682,Hip-Hop
78220,Classical
42113,Alternative
29197,Electronic
73749,Electronic
76959,Anime
32662,Rock
28240,Blues
78684,Rap
23339,Country
66580,Electronic
62293,Blues
73224,Blues
63436,Anime
85265,Electronic
49131,Blues
42894,Blues
32778,Blues
88626,Anime
20474,Anime
57621,Alternative
68702,Alternative
68429,Rap
48412,Alternative
31462,Hip-Hop
20258,Blues
80048,Anime
36643,Country
51269,Anime
36620,Anime
47393,Anime
34229,Blues
27054,Blues
74946,Blues
79753,Classical
78997,Blues
90739,Alternative
34604,Jazz
48875,Blues
72374,Alternative
84383,Electronic
82285,Anime
49168,Country
35219,Anime
72531,Blues
37626,Blues
74540,Alternative
22782,Blues
59663,Rap
65605,Alternative
63227,Electronic
27942,Rock
61120,Rap
59041,Rap
67531,Blues
89417,Blues
51652,Country
23769,Rap
88512,Rap
69103,Rock
25734,Rock
35192,Blues
77761,Anime
58002,Rap
27331,Rap
90879,Rap
66951,Alternative
21111,Alternative
36583,Blues
69430,Classical
26846,Rap
54227,Classical
79612,Rock
36250,Blues
71243,Jazz
41033,Classical
58600,Rap
64358,Electronic
55882,Blues
67981,Rap
78157,Country
39280,Rock
65167,Anime
50033,Rap
34067,Country
71541,Blues
58044,Alternative
67611,Rap
88524,Blues
50007,Rock
36733,Electronic
55966,Alternative
29854,Country
47533,Rap
84957,Rock
27733,Blues
88890,Rock
71105,Hip-Hop
87402,Rap
81300,Classical
25948,Electronic
30686,Anime
27597,Classical
46658,Electronic
33241,Blues
34855,Rap
39290,Country
61297,Rap
79393,Rap
85447,Rock
24779,Classical
21888,Blues
22450,Rock
21637,Blues
76444,Alternative
34627,Anime
30361,Electronic
22862,Rap
55635,Rap
39392,Alternative
21530,Blues
53803,Electronic
79904,Alternative
79589,Country
38281,Electronic
26187,Blues
65289,Blues
38631,Blues
34026,Alternative
81881,Country
25877,Classical
79755,Rap
67894,Jazz
50248,Alternative
32074,Blues
41890,Alternative
36233,Blues
63019,Electronic
31135,Electronic
91653,Classical
67493,Rap
45720,Rock
78113,Alternative
66990,Rock
33226,Rap
43840,Electronic
66599,Electronic
37709,Anime
89646,Jazz
41952,Blues
90953,Classical
26762,Alternative
62414,Alternative
54492,Alternative
22070,Alternative
34735,Classical
37276,Blues
91709,Blues
79337,Anime
32555,Blues
28310,Rap
60154,Rap
89947,Alternative
67061,Alternative
82280,Country
67551,Rap
49912,Blues
44285,Country
62759,Blues
26763,Rock
88251,Alternative
21144,Rap
39166,Blues
58756,Anime
74087,Rap
58075,Blues
49533,Blues
79989,Electronic
58425,Electronic
62607,Classical
85075,Jazz
56756,Alternative
28898,Blues
42118,Blues
55409,Rap
31714,Anime
41361,Hip-Hop
30503,Rock
45222,Blues
68913,Country
74995,Rap
47775,Electronic
37384,Anime
49180,Anime
28678,Classical
42464,Rock
79508,Alternative
62403,Electronic
40756,Rap
85665,Country
79277,Country
23449,Hip-Hop
82350,Blues
61130,Country
55562,Rap
78807,Country
67592,Blues
58204,Country
42874,Rap
76341,Rap
47432,Classical
22904,Blues
42683,Electronic
72925,Jazz
25202,Alternative
23994,Hip-Hop
41096,Blues
53503,Rap
83671,Country
59711,Alternative
61562,Alternative
67914,Blues
50650,Electronic
32141,Rap
50317,Jazz
51665,Alternative
70042,Country
27911,Blues
40311,Rap
49904,Hip-Hop
47588,Alternative
44657,Blues
23053,Rap
42143,Country
77852,Classical
58240,Blues
67419,Blues
75524,Electronic
29774,Rap
60161,Electronic
45935,Classical
50100,Hip-Hop
27735,Blues
22155,Anime
28074,Jazz
70652,Rock
73891,Classical
67578,Classical
48379,Country
53364,Rap
46115,Blues
80693,Blues
86176,Alternative
69079,Country
29436,Country
55813,Anime
78708,Alternative
81049,Rock
36822,Jazz
22274,Electronic
41472,Blues
69744,Blues
85910,Rap
79522,Rap
86953,Rap
65953,Rap
70639,Anime
79193,Blues
35294,Blues
77931,Blues
63066,Blues
68106,Blues
85652,Jazz
68770,Blues
75085,Rap
80369,Blues
79286,Blues
63102,Alternative
86706,Rap
49496,Country
43631,Electronic
28056,Rap
37736,Blues
60812,Blues
23204,Blues
54161,Blues
30121,Country
66816,Rock
82621,Anime
28760,Blues
85574,Rap
27085,Electronic
58429,Country
39227,Classical
75952,Rap
83656,Country
58626,Blues
76948,Rap
40834,Alternative
66252,Rap
59319,Classical
62342,Classical
32156,Electronic
35817,Country
77770,Country
25530,Electronic
67138,Hip-Hop
74197,Electronic
28720,Classical
34223,Anime
59705,Country
26142,Country
46526,Rap
23005,Rock
59474,Classical
45707,Blues
27027,Classical
57553,Rock
90987,Rap
41262,Electronic
78385,Alternative
30750,Rap
65283,Blues
45981,Classical
65943,Rap
22917,Rap
81906,Alternative
47576,Classical
83134,Rap
77843,Country
30061,Blues
85448,Alternative
58815,Blues
39610,Classical
28228,Electronic
20724,Electronic
39201,Electronic
77056,Anime
52020,Alternative
22943,Rap
87928,Rap
91571,Jazz
35921,Alternative
86157,Jazz
61361,Classical
61824,Rock
91068,Country
26519,Country
54567,Country
84864,Blues
86854,Rap
28672,Classical
89590,Rap
40950,Classical
84346,Country
88444,Alternative
84165,Blues
54821,Blues
49692,Blues
46715,Rap
52010,Rap
82981,Anime
25725,Rap
30019,Country
35896,Country
79523,Anime
86615,Country
22846,Rap
69121,Rap
87501,Classical
60441,Anime
59679,Anime
73116,Jazz
79128,Blues
77924,Blues
50103,Electronic
32687,Classical
36166,Anime
23042,Anime
86267,Classical
86002,Alternative
54217,Classical
32061,Rap
90641,Classical
25215,Blues
76746,Blues
55403,Rap
53545,Anime
28508,Rock
34635,Classical
83181,Electronic
40431,Rap
53432,Electronic
72380,Country
91547,Rock
21329,Rap
48834,Electronic
60260,Jazz
62596,Rap
88414,Jazz
27670,Rock
20184,Rap
74754,Alternative
51779,Blues
44229,Blues
38429,Electronic
52175,Electronic
74508,Country
38226,Blues
88033,Hip-Hop
46508,Country
28366,Country
43879,Blues
76786,Country
79751,Blues
68264,Electronic
35263,Electronic
27380,Jazz
43617,Alternative
66753,Alternative
81392,Electronic
87466,Blues
43503,Anime
64420,Alternative
79663,Blues
69705,Alternative
23454,Anime
89415,Blues
85299,Jazz
52464,Electronic
87262,Electronic
82220,Electronic
53978,Rap
26077,Anime
34361,Classical
79197,Country
44679,Jazz
87060,Rock
69407,Anime
24344,Rap
32903,Anime
81260,Rap
87783,Rock
59070,Blues
84713,Country
39540,Alternative
87881,Electronic
62139,Country
34809,Electronic
25628,Blues
45163,Alternative
30628,Anime
88973,Rap
79958,Blues
39602,Electronic
67145,Alternative
31157,Rap
89361,Rock
38655,Rap
30081,Country
85900,Electronic
73908,Rock
40349,Blues
54879,Rock
67338,Alternative
37894,Alternative
83715,Blues
27123,Electronic
91289,Classical
53547,Country
78358,Blues
73070,Anime
85231,Electronic
57054,Rap
26421,Rap
84532,Rap
65393,Rock
27409,Electronic
54312,Alternative
74195,Blues
48112,Blues
48227,Alternative
67568,Anime
38819,Rap
29974,Anime
75851,Alternative
38200,Blues
34119,Alternative
47538,Classical
50199,Rap
27378,Country
54292,Electronic
25808,Rap
64587,Blues
75010,Blues
87791,Hip-Hop
85250,Rap
62104,Electronic
57713,Alternative
79767,Blues
57625,Blues
21071,Electronic
54208,Electronic
22607,Classical
28279,Rap
33901,Blues
35304,Rock
73033,Blues
43728,Country
38952,Anime
35753,Rap
87301,Blues
68674,Electronic
89545,Jazz
84037,Blues
40629,Anime
66762,Rap
38489,Rock
50798,Rap
59440,Blues
65178,Blues
89685,Blues
75272,Electronic
86956,Rap
54030,Country
82915,Rap
52094,Alternative
51792,Hip-Hop
28284,Rap
20113,Country
87653,Rap
35743,Electronic
26678,Anime
73596,Blues
51560,Alternative
56709,Rap
24928,Electronic
53403,Blues
22619,Blues
53744,Classical
54616,Rap
61554,Country
69985,Rock
77452,Rock
23419,Rock
33908,Alternative
28964,Country
76506,Electronic
33456,Rock
24191,Rap
71957,Rap
60030,Alternative
67030,Rock
48507,Alternative
70915,Alternative
46551,Rock
89424,Jazz
44108,Alternative
75115,Rap
22398,Country
80442,Alternative
28649,Rap
44755,Rap
40871,Jazz
81727,Electronic
90895,Anime
80298,Alternative
36834,Country
64081,Rap
42371,Alternative
30453,Rap
36618,Hip-Hop
61161,Anime
69958,Rap
77541,Blues
39478,Rap
53182,Country
91376,Country
74527,Classical
37367,Electronic
85484,Alternative
78633,Anime
48596,Alternative
74826,Rap
80998,Jazz
53417,Hip-Hop
57049,Rap
33615,Electronic
80751,Electronic
61234,Blues
62521,Anime
23508,Alternative
87143,Alternative
77220,Alternative
78207,Rap
39623,Rock
39015,Electronic
67572,Electronic
82669,Alternative
46911,Rap
76013,Classical
80753,Rap
48074,Country
64825,Anime
63874,Blues
57271,Rock
51202,Electronic
67118,Rap
83814,Blues
39573,Alternative
84886,Electronic
86847,Electronic
82518,Alternative
42067,Alternative
48139,Blues
56337,Alternative
88537,Blues
59730,Blues
32174,Rap
73134,Anime
44579,Rap
31042,Electronic
73932,Rap
88390,Electronic
83099,Country
84090,Anime
78602,Jazz
49931,Electronic
35740,Country
54430,Anime
36997,Jazz
46176,Alternative
59673,Blues
79201,Rock
83689,Rap
84282,Rap
77132,Country
66739,Anime
88734,Alternative
83245,Blues
25710,Alternative
39970,Classical
76018,Country
44135,Alternative
70179,Rap
83697,Electronic
36561,Blues
84578,Blues
70828,Country
83492,Rap
27262,Rock
51203,Electronic
58158,Electronic
61086,Electronic
67100,Anime
25075,Blues
88257,Country
51359,Alternative
39806,Rap
83290,Classical
71123,Classical
75263,Rap
21285,Alternative
39144,Electronic
81556,Classical
75841,Blues
72512,Country
70076,Rock
20475,Rock
60876,Anime
66334,Blues
46536,Rap
21821,Electronic
66861,Country
59942,Country
61748,Electronic
30388,Rap
38184,Country
47767,Alternative
33039,Rock
85876,Classical
49775,Anime
33221,Alternative
20810,Country
36524,Country
79824,Blues
28907,Rap
36410,Electronic
85580,Blues
62021,Blues
35234,Blues
41738,Alternative
30543,Blues
32989,Blues
28163,Anime
33828,Blues
67600,Rap
61671,Blues
44146,Blues
63726,Rap
84088,Anime
28335,Blues
88531,Country
22198,Anime
38212,Anime
66928,Blues
85196,Rock
27991,Electronic
90666,Classical
31945,Anime
86909,Blues
69376,Country
63721,Jazz
47711,Rap
26007,Blues
50041,Rap
23664,Anime
84668,Classical
59235,Blues
82927,Anime
56602,Anime
51534,Country
29908,Country
62571,Anime
38427,Rap
49885,Rap
68035,Country
47258,Electronic
32688,Electronic
69783,Anime
58518,Blues
25785,Classical
40674,Anime
74474,Blues
